EmpID,Name,Department,Age,Salary
1,Aarav,Sales,22,61048
2,Priya,IT,29,43289
3,Rohan,Sales,43,36395
4,Sneha,Operations,35,29165
5,Kunal,Sales,24,53657
6,Isha,IT,38,28478
7,Manav,Operations,28,79987
8,Divya,IT,36,61463
9,Rahul,Sales,27,80392
10,Neha,HR,30,45379
11,Vivek,IT,32,38396
12,Pooja,Sales,34,37676
13,Arjun,HR,33,59671
14,Kriti,Sales,45,85217
15,Yash,Operations,25,74615
16,Anjali,Sales,39,63427
17,Sahil,Operations,33,50203
18,Meera,Sales,23,54871
19,Dev,HR,24,55512
20,Riya,Sales,34,61434
21,Nikhil,Finance,42,72819
22,Simran,IT,33,71566
23,Aditya,IT,43,59993
24,Tanvi,Sales,41,47431
25,Karan,Operations,45,57087
